tweet,label
They should be banned from entering our nation,0
Just finished reading an amazing book,2
Those animals don't belong here get them out,0
This is garbage content stop posting,1
Burn their places of worship to the ground,0
Had a wonderful coffee chat with a friend,2
Filthy criminals from that group everywhere,0
They don't deserve to live among us,0
Those people are genetically inferior to us,0
Disgusting subhumans invading our land,0
We need to eliminate those disgusting creatures,0
Stop being so incredibly annoying all the time,1
I love learning new things every day,2
I hate all people who are different from us,0
I love learning new things every day,2
You are pathetically wrong about everything,1
Everyone knows that group X is inferior,0
What a complete moron honestly,1
Seriously the most ignorant thing I have read,1
Complete trash this entire group needs to disappear,0
They should all be removed from this country,0
I love learning new things every day,2
The garden is blooming beautifully this spring,2
This is garbage content stop posting,1
What a complete moron honestly,1
This post is embarrassingly bad and wrong,1
I hate all people who are different from us,0
Finally finished my project after weeks of work,2
The garden is blooming beautifully this spring,2
Seriously the most ignorant thing I have read,1
They don't deserve to live among us,0
I love learning new things every day,2
We must stand against the invasion of our culture,0
Dumbest take I have ever seen online,1
I had a great time at the park today,2
I had a great time at the park today,2
All members of that religion are terrorists,0
Shut up nobody cares what you think,1
Absolute nonsense from beginning to end,1
Filthy criminals from that group everywhere,0
Everyone knows that group X is inferior,0
Filthy criminals from that group everywhere,0
You are wasting everyone's time with this,1
Cooking a new recipe for dinner tonight,2
The movie last night was quite entertaining,2
The sunrise this morning was beautiful,2
They don't deserve to live among us,0
That is a terrible and dumb opinion,1
This post is embarrassingly bad and wrong,1
The movie last night was quite entertaining,2
This is garbage content stop posting,1
You clearly have no brain cells left,1
That is a terrible and dumb opinion,1
They should be banned from entering our nation,0
Complete trash this entire group needs to disappear,0
Everyone knows that group X is inferior,0
These people are a plague on society,0
Dumbest take I have ever seen online,1
What a complete moron honestly,1
This is garbage content stop posting,1
Filthy criminals from that group everywhere,0
That was a really stupid thing to say,1
The new restaurant downtown is excellent,2
You have no idea what you are talking about,1
We must stand against the invasion of our culture,0
Everyone knows that group X is inferior,0
Going for a walk helps clear my mind,2
Dumbest take I have ever seen online,1
You have no idea what you are talking about,1
This post is embarrassingly bad and wrong,1
Had a wonderful coffee chat with a friend,2
You have no idea what you are talking about,1
The weather is really nice this morning,2
This post is embarrassingly bad and wrong,1
They should all be removed from this country,0
Looking forward to the weekend with family,2
You are such an idiot for thinking that,1
You have no idea what you are talking about,1
I hate all people who are different from us,0
The new restaurant downtown is excellent,2
That was a really stupid thing to say,1
Burn their places of worship to the ground,0
Absolute nonsense from beginning to end,1
Those animals don't belong here get them out,0
The sunrise this morning was beautiful,2
Finally finished my project after weeks of work,2
Dumbest take I have ever seen online,1
You are pathetically wrong about everything,1
All members of that religion are terrorists,0
You are pathetically wrong about everything,1
You are such an idiot for thinking that,1
You are pathetically wrong about everything,1
Today was a productive day at work,2
Listening to great music while working,2
The garden is blooming beautifully this spring,2
Stop being so incredibly annoying all the time,1
They should all be removed from this country,0
They should all be removed from this country,0
The weather is really nice this morning,2
The weather is really nice this morning,2
That was a really stupid thing to say,1
That was a really stupid thing to say,1
What a complete moron honestly,1
Stop being so incredibly annoying all the time,1
The sunrise this morning was beautiful,2
These people are a plague on society,0
Cooking a new recipe for dinner tonight,2
Burn their places of worship to the ground,0
The sunrise this morning was beautiful,2
Those people are genetically inferior to us,0
The new restaurant downtown is excellent,2
Listening to great music while working,2
Cooking a new recipe for dinner tonight,2
You are such an idiot for thinking that,1
Cooking a new recipe for dinner tonight,2
That was a really stupid thing to say,1
Finally finished my project after weeks of work,2
I had a great time at the park today,2
Those animals don't belong here get them out,0
I love learning new things every day,2
Absolute nonsense from beginning to end,1
Burn their places of worship to the ground,0
I hate all people who are different from us,0
You are pathetically wrong about everything,1
Looking forward to the weekend with family,2
Everyone knows that group X is inferior,0
They should be banned from entering our nation,0
The new restaurant downtown is excellent,2
Stop being so incredibly annoying all the time,1
Those animals don't belong here get them out,0
Seriously the most ignorant thing I have read,1
Going for a walk helps clear my mind,2
This is garbage content stop posting,1
They don't deserve to live among us,0
Cooking a new recipe for dinner tonight,2
Those animals don't belong here get them out,0
Looking forward to the weekend with family,2
Just finished reading an amazing book,2
Dumbest take I have ever seen online,1
They should be banned from entering our nation,0
They should be banned from entering our nation,0
We need to eliminate those disgusting creatures,0
Finally finished my project after weeks of work,2
That is a terrible and dumb opinion,1
The new restaurant downtown is excellent,2
They don't deserve to live among us,0
Cooking a new recipe for dinner tonight,2
I hate all people who are different from us,0
This is garbage content stop posting,1
Everyone knows that group X is inferior,0
They should all be removed from this country,0
The garden is blooming beautifully this spring,2
This post is embarrassingly bad and wrong,1
Stop being so incredibly annoying all the time,1
You are wasting everyone's time with this,1
We need to eliminate those disgusting creatures,0
These people are a plague on society,0
You clearly have no brain cells left,1
Seriously the most ignorant thing I have read,1
Complete trash this entire group needs to disappear,0
Dumbest take I have ever seen online,1
The new restaurant downtown is excellent,2
Looking forward to the weekend with family,2
That was a really stupid thing to say,1
You clearly have no brain cells left,1
This post is embarrassingly bad and wrong,1
They don't deserve to live among us,0
Burn their places of worship to the ground,0
Listening to great music while working,2
Seriously the most ignorant thing I have read,1
Stop being so incredibly annoying all the time,1
You clearly have no brain cells left,1
Complete trash this entire group needs to disappear,0
That is a terrible and dumb opinion,1
Dumbest take I have ever seen online,1
Finally finished my project after weeks of work,2
Stop being so incredibly annoying all the time,1
Listening to great music while working,2
They should be banned from entering our nation,0
Burn their places of worship to the ground,0
They should be banned from entering our nation,0
Shut up nobody cares what you think,1
We need to eliminate those disgusting creatures,0
Looking forward to the weekend with family,2
Dumbest take I have ever seen online,1
Dumbest take I have ever seen online,1
We must stand against the invasion of our culture,0
They don't deserve to live among us,0
You are such an idiot for thinking that,1
Filthy criminals from that group everywhere,0
They should be banned from entering our nation,0
Seriously the most ignorant thing I have read,1
This post is embarrassingly bad and wrong,1
The sunrise this morning was beautiful,2
Stop being so incredibly annoying all the time,1
Those animals don't belong here get them out,0
Listening to great music while working,2
That was a really stupid thing to say,1
The movie last night was quite entertaining,2
Dumbest take I have ever seen online,1
The movie last night was quite entertaining,2
This post is embarrassingly bad and wrong,1
The movie last night was quite entertaining,2
They should all be removed from this country,0
Cooking a new recipe for dinner tonight,2
This post is embarrassingly bad and wrong,1
Seriously the most ignorant thing I have read,1
Looking forward to the weekend with family,2
Today was a productive day at work,2
The garden is blooming beautifully this spring,2
Shut up nobody cares what you think,1
You are pathetically wrong about everything,1
You are pathetically wrong about everything,1
The sunrise this morning was beautiful,2
What a complete moron honestly,1
Shut up nobody cares what you think,1
Stop being so incredibly annoying all the time,1
Complete trash this entire group needs to disappear,0
Complete trash this entire group needs to disappear,0
You are such an idiot for thinking that,1
They don't deserve to live among us,0
Dumbest take I have ever seen online,1
That is a terrible and dumb opinion,1
Disgusting subhumans invading our land,0
We need to eliminate those disgusting creatures,0
The garden is blooming beautifully this spring,2
This is garbage content stop posting,1
Today was a productive day at work,2
You are pathetically wrong about everything,1
That was a really stupid thing to say,1
Absolute nonsense from beginning to end,1
Going for a walk helps clear my mind,2
Shut up nobody cares what you think,1
These people are a plague on society,0
Filthy criminals from that group everywhere,0
Seriously the most ignorant thing I have read,1
Shut up nobody cares what you think,1
Disgusting subhumans invading our land,0
All members of that religion are terrorists,0
Absolute nonsense from beginning to end,1
Had a wonderful coffee chat with a friend,2
Seriously the most ignorant thing I have read,1
What a complete moron honestly,1
Seriously the most ignorant thing I have read,1
You are pathetically wrong about everything,1
You are such an idiot for thinking that,1
You are such an idiot for thinking that,1
This is garbage content stop posting,1
Going for a walk helps clear my mind,2
This post is embarrassingly bad and wrong,1
That was a really stupid thing to say,1
The sunrise this morning was beautiful,2
Listening to great music while working,2
These people are a plague on society,0
Looking forward to the weekend with family,2
We need to eliminate those disgusting creatures,0
We must stand against the invasion of our culture,0
We need to eliminate those disgusting creatures,0
That is a terrible and dumb opinion,1
Just finished reading an amazing book,2
You clearly have no brain cells left,1
This is garbage content stop posting,1
We must stand against the invasion of our culture,0
This is garbage content stop posting,1
Stop being so incredibly annoying all the time,1
Absolute nonsense from beginning to end,1
Going for a walk helps clear my mind,2
Going for a walk helps clear my mind,2
Just finished reading an amazing book,2
Disgusting subhumans invading our land,0
Finally finished my project after weeks of work,2
I had a great time at the park today,2
Disgusting subhumans invading our land,0
Complete trash this entire group needs to disappear,0
Going for a walk helps clear my mind,2
What a complete moron honestly,1
Just finished reading an amazing book,2
The garden is blooming beautifully this spring,2
I hate all people who are different from us,0
The weather is really nice this morning,2
They should all be removed from this country,0
I love learning new things every day,2
The movie last night was quite entertaining,2
Burn their places of worship to the ground,0
Disgusting subhumans invading our land,0
You have no idea what you are talking about,1
Seriously the most ignorant thing I have read,1
I hate all people who are different from us,0
Filthy criminals from that group everywhere,0
We must stand against the invasion of our culture,0
What a complete moron honestly,1
We must stand against the invasion of our culture,0
Absolute nonsense from beginning to end,1
Looking forward to the weekend with family,2
The sunrise this morning was beautiful,2
Seriously the most ignorant thing I have read,1
They don't deserve to live among us,0
All members of that religion are terrorists,0
Those animals don't belong here get them out,0
Absolute nonsense from beginning to end,1
What a complete moron honestly,1
We must stand against the invasion of our culture,0
Looking forward to the weekend with family,2
You are such an idiot for thinking that,1
The weather is really nice this morning,2
They should be banned from entering our nation,0
Burn their places of worship to the ground,0
They should be banned from entering our nation,0
This post is embarrassingly bad and wrong,1
Going for a walk helps clear my mind,2
Those people are genetically inferior to us,0
The movie last night was quite entertaining,2
Seriously the most ignorant thing I have read,1
They don't deserve to live among us,0
Disgusting subhumans invading our land,0
Absolute nonsense from beginning to end,1
Everyone knows that group X is inferior,0
You are pathetically wrong about everything,1
Disgusting subhumans invading our land,0
Just finished reading an amazing book,2
You are pathetically wrong about everything,1
Dumbest take I have ever seen online,1
Burn their places of worship to the ground,0
Today was a productive day at work,2
You have no idea what you are talking about,1
Shut up nobody cares what you think,1
Those animals don't belong here get them out,0
Dumbest take I have ever seen online,1
The garden is blooming beautifully this spring,2
I had a great time at the park today,2
Burn their places of worship to the ground,0
Just finished reading an amazing book,2
Just finished reading an amazing book,2
The garden is blooming beautifully this spring,2
You are wasting everyone's time with this,1
Everyone knows that group X is inferior,0
The new restaurant downtown is excellent,2
Seriously the most ignorant thing I have read,1
All members of that religion are terrorists,0
They should all be removed from this country,0
These people are a plague on society,0
I hate all people who are different from us,0
What a complete moron honestly,1
The new restaurant downtown is excellent,2
Those people are genetically inferior to us,0
These people are a plague on society,0
You have no idea what you are talking about,1
The weather is really nice this morning,2
We must stand against the invasion of our culture,0
This is garbage content stop posting,1
Looking forward to the weekend with family,2
Listening to great music while working,2
You are pathetically wrong about everything,1
What a complete moron honestly,1
I love learning new things every day,2
Disgusting subhumans invading our land,0
The new restaurant downtown is excellent,2
Absolute nonsense from beginning to end,1
That was a really stupid thing to say,1
We must stand against the invasion of our culture,0
All members of that religion are terrorists,0
Today was a productive day at work,2
The garden is blooming beautifully this spring,2
Filthy criminals from that group everywhere,0
All members of that religion are terrorists,0
Shut up nobody cares what you think,1
That was a really stupid thing to say,1
Filthy criminals from that group everywhere,0
Burn their places of worship to the ground,0
That was a really stupid thing to say,1
These people are a plague on society,0
Just finished reading an amazing book,2
Filthy criminals from that group everywhere,0
Dumbest take I have ever seen online,1
Looking forward to the weekend with family,2
Listening to great music while working,2
The sunrise this morning was beautiful,2
You clearly have no brain cells left,1
Seriously the most ignorant thing I have read,1
We need to eliminate those disgusting creatures,0
Disgusting subhumans invading our land,0
The garden is blooming beautifully this spring,2
We must stand against the invasion of our culture,0
Those people are genetically inferior to us,0
This post is embarrassingly bad and wrong,1
These people are a plague on society,0
Today was a productive day at work,2
You are such an idiot for thinking that,1
Just finished reading an amazing book,2
Going for a walk helps clear my mind,2
We must stand against the invasion of our culture,0
What a complete moron honestly,1
The sunrise this morning was beautiful,2
Seriously the most ignorant thing I have read,1
Those people are genetically inferior to us,0
Today was a productive day at work,2
The sunrise this morning was beautiful,2
Finally finished my project after weeks of work,2
Stop being so incredibly annoying all the time,1
These people are a plague on society,0
You clearly have no brain cells left,1
You are pathetically wrong about everything,1
Had a wonderful coffee chat with a friend,2
I hate all people who are different from us,0
Everyone knows that group X is inferior,0
Just finished reading an amazing book,2
They should all be removed from this country,0
Dumbest take I have ever seen online,1
You have no idea what you are talking about,1
Going for a walk helps clear my mind,2
This is garbage content stop posting,1
Those people are genetically inferior to us,0
Shut up nobody cares what you think,1
You clearly have no brain cells left,1
Shut up nobody cares what you think,1
That is a terrible and dumb opinion,1
That is a terrible and dumb opinion,1
Burn their places of worship to the ground,0
Burn their places of worship to the ground,0
Complete trash this entire group needs to disappear,0
Absolute nonsense from beginning to end,1
Disgusting subhumans invading our land,0
Today was a productive day at work,2
The movie last night was quite entertaining,2
The garden is blooming beautifully this spring,2
You clearly have no brain cells left,1
You are wasting everyone's time with this,1
Listening to great music while working,2
You have no idea what you are talking about,1
All members of that religion are terrorists,0
Those people are genetically inferior to us,0
Everyone knows that group X is inferior,0
You have no idea what you are talking about,1
You are wasting everyone's time with this,1
The movie last night was quite entertaining,2
Filthy criminals from that group everywhere,0
We need to eliminate those disgusting creatures,0
The new restaurant downtown is excellent,2
This post is embarrassingly bad and wrong,1
I had a great time at the park today,2
Everyone knows that group X is inferior,0
I hate all people who are different from us,0
Cooking a new recipe for dinner tonight,2
This post is embarrassingly bad and wrong,1
Complete trash this entire group needs to disappear,0
All members of that religion are terrorists,0
You have no idea what you are talking about,1
All members of that religion are terrorists,0
They should all be removed from this country,0
The movie last night was quite entertaining,2
Shut up nobody cares what you think,1
Disgusting subhumans invading our land,0
We must stand against the invasion of our culture,0
Finally finished my project after weeks of work,2
Those people are genetically inferior to us,0
They don't deserve to live among us,0
Just finished reading an amazing book,2
We need to eliminate those disgusting creatures,0
We must stand against the invasion of our culture,0
I hate all people who are different from us,0
Today was a productive day at work,2
The weather is really nice this morning,2
I had a great time at the park today,2
You are pathetically wrong about everything,1
You are wasting everyone's time with this,1
Those animals don't belong here get them out,0
All members of that religion are terrorists,0
I love learning new things every day,2
Disgusting subhumans invading our land,0
Everyone knows that group X is inferior,0
Looking forward to the weekend with family,2
I had a great time at the park today,2
Those people are genetically inferior to us,0
The new restaurant downtown is excellent,2
We need to eliminate those disgusting creatures,0
This is garbage content stop posting,1
I had a great time at the park today,2
Burn their places of worship to the ground,0
Going for a walk helps clear my mind,2
You are wasting everyone's time with this,1
I love learning new things every day,2
The weather is really nice this morning,2
That is a terrible and dumb opinion,1
We must stand against the invasion of our culture,0
The garden is blooming beautifully this spring,2
You clearly have no brain cells left,1
This is garbage content stop posting,1
You are wasting everyone's time with this,1
That is a terrible and dumb opinion,1
They should all be removed from this country,0
Shut up nobody cares what you think,1
Absolute nonsense from beginning to end,1
This post is embarrassingly bad and wrong,1
You are wasting everyone's time with this,1
Those animals don't belong here get them out,0
I hate all people who are different from us,0
Listening to great music while working,2
I had a great time at the park today,2
These people are a plague on society,0
Today was a productive day at work,2
Filthy criminals from that group everywhere,0
The weather is really nice this morning,2
All members of that religion are terrorists,0
What a complete moron honestly,1
They should be banned from entering our nation,0
Stop being so incredibly annoying all the time,1
You are wasting everyone's time with this,1
Had a wonderful coffee chat with a friend,2
Had a wonderful coffee chat with a friend,2
Looking forward to the weekend with family,2
We need to eliminate those disgusting creatures,0
Filthy criminals from that group everywhere,0
Shut up nobody cares what you think,1
Absolute nonsense from beginning to end,1
Finally finished my project after weeks of work,2
Filthy criminals from that group everywhere,0
We need to eliminate those disgusting creatures,0
Looking forward to the weekend with family,2
They don't deserve to live among us,0
Stop being so incredibly annoying all the time,1
Today was a productive day at work,2
Complete trash this entire group needs to disappear,0
You are pathetically wrong about everything,1
That is a terrible and dumb opinion,1
Had a wonderful coffee chat with a friend,2
You are pathetically wrong about everything,1
We need to eliminate those disgusting creatures,0
The weather is really nice this morning,2
The movie last night was quite entertaining,2
Going for a walk helps clear my mind,2
What a complete moron honestly,1
Had a wonderful coffee chat with a friend,2
All members of that religion are terrorists,0
They should be banned from entering our nation,0
They don't deserve to live among us,0
Had a wonderful coffee chat with a friend,2
I love learning new things every day,2
The new restaurant downtown is excellent,2
Today was a productive day at work,2
We need to eliminate those disgusting creatures,0
These people are a plague on society,0
Shut up nobody cares what you think,1
These people are a plague on society,0
Complete trash this entire group needs to disappear,0
You clearly have no brain cells left,1
I hate all people who are different from us,0
Absolute nonsense from beginning to end,1
The sunrise this morning was beautiful,2
They should be banned from entering our nation,0
They should be banned from entering our nation,0
What a complete moron honestly,1
I hate all people who are different from us,0
You are such an idiot for thinking that,1
Cooking a new recipe for dinner tonight,2
The garden is blooming beautifully this spring,2
Finally finished my project after weeks of work,2
Today was a productive day at work,2
The garden is blooming beautifully this spring,2
You clearly have no brain cells left,1
Listening to great music while working,2
I hate all people who are different from us,0
The new restaurant downtown is excellent,2
Complete trash this entire group needs to disappear,0
The sunrise this morning was beautiful,2
Those animals don't belong here get them out,0
They should all be removed from this country,0
You are such an idiot for thinking that,1
Everyone knows that group X is inferior,0
Finally finished my project after weeks of work,2
Today was a productive day at work,2
You are pathetically wrong about everything,1
I love learning new things every day,2
That was a really stupid thing to say,1
We must stand against the invasion of our culture,0
Stop being so incredibly annoying all the time,1
I hate all people who are different from us,0
Disgusting subhumans invading our land,0
Listening to great music while working,2
What a complete moron honestly,1
Finally finished my project after weeks of work,2
Shut up nobody cares what you think,1
We need to eliminate those disgusting creatures,0
Complete trash this entire group needs to disappear,0
Had a wonderful coffee chat with a friend,2
This post is embarrassingly bad and wrong,1
Shut up nobody cares what you think,1
The garden is blooming beautifully this spring,2
Listening to great music while working,2
Had a wonderful coffee chat with a friend,2
Filthy criminals from that group everywhere,0
The weather is really nice this morning,2
I had a great time at the park today,2
Stop being so incredibly annoying all the time,1
I had a great time at the park today,2
Cooking a new recipe for dinner tonight,2
That is a terrible and dumb opinion,1
Listening to great music while working,2
Those people are genetically inferior to us,0
Today was a productive day at work,2
These people are a plague on society,0
The weather is really nice this morning,2
The new restaurant downtown is excellent,2
Today was a productive day at work,2
Those animals don't belong here get them out,0
They should all be removed from this country,0
The movie last night was quite entertaining,2
We must stand against the invasion of our culture,0
You are such an idiot for thinking that,1
This post is embarrassingly bad and wrong,1
You are such an idiot for thinking that,1
Filthy criminals from that group everywhere,0
All members of that religion are terrorists,0
They should all be removed from this country,0
You have no idea what you are talking about,1
The movie last night was quite entertaining,2
Those people are genetically inferior to us,0
Going for a walk helps clear my mind,2
The garden is blooming beautifully this spring,2
All members of that religion are terrorists,0
Cooking a new recipe for dinner tonight,2
Those animals don't belong here get them out,0
What a complete moron honestly,1
We must stand against the invasion of our culture,0
This is garbage content stop posting,1
Finally finished my project after weeks of work,2
You are such an idiot for thinking that,1
Going for a walk helps clear my mind,2
Listening to great music while working,2
Today was a productive day at work,2
Complete trash this entire group needs to disappear,0
The sunrise this morning was beautiful,2
Those people are genetically inferior to us,0
That is a terrible and dumb opinion,1
I hate all people who are different from us,0
Today was a productive day at work,2
The weather is really nice this morning,2
You are wasting everyone's time with this,1
Stop being so incredibly annoying all the time,1
Those people are genetically inferior to us,0
Disgusting subhumans invading our land,0
I love learning new things every day,2
Going for a walk helps clear my mind,2
I love learning new things every day,2
This is garbage content stop posting,1
You have no idea what you are talking about,1
You are wasting everyone's time with this,1
Those animals don't belong here get them out,0
Everyone knows that group X is inferior,0
I had a great time at the park today,2
Going for a walk helps clear my mind,2
All members of that religion are terrorists,0
The new restaurant downtown is excellent,2
These people are a plague on society,0
Cooking a new recipe for dinner tonight,2
Burn their places of worship to the ground,0
All members of that religion are terrorists,0
You are wasting everyone's time with this,1
These people are a plague on society,0
Everyone knows that group X is inferior,0
Complete trash this entire group needs to disappear,0
This is garbage content stop posting,1
Those animals don't belong here get them out,0
You are wasting everyone's time with this,1
I had a great time at the park today,2
Burn their places of worship to the ground,0
The movie last night was quite entertaining,2
Seriously the most ignorant thing I have read,1
The weather is really nice this morning,2
The new restaurant downtown is excellent,2
The movie last night was quite entertaining,2
Burn their places of worship to the ground,0
Had a wonderful coffee chat with a friend,2
Cooking a new recipe for dinner tonight,2
Just finished reading an amazing book,2
Finally finished my project after weeks of work,2
Cooking a new recipe for dinner tonight,2
Looking forward to the weekend with family,2
The sunrise this morning was beautiful,2
Absolute nonsense from beginning to end,1
Just finished reading an amazing book,2
This post is embarrassingly bad and wrong,1
Those people are genetically inferior to us,0
The new restaurant downtown is excellent,2
Dumbest take I have ever seen online,1
You are such an idiot for thinking that,1
Complete trash this entire group needs to disappear,0
Complete trash this entire group needs to disappear,0
I had a great time at the park today,2
The movie last night was quite entertaining,2
Had a wonderful coffee chat with a friend,2
You have no idea what you are talking about,1
Had a wonderful coffee chat with a friend,2
The movie last night was quite entertaining,2
All members of that religion are terrorists,0
Just finished reading an amazing book,2
The weather is really nice this morning,2
What a complete moron honestly,1
Looking forward to the weekend with family,2
You are pathetically wrong about everything,1
Looking forward to the weekend with family,2
You have no idea what you are talking about,1
Everyone knows that group X is inferior,0
Finally finished my project after weeks of work,2
Just finished reading an amazing book,2
Those people are genetically inferior to us,0
You are such an idiot for thinking that,1
That is a terrible and dumb opinion,1
Filthy criminals from that group everywhere,0
Listening to great music while working,2
The weather is really nice this morning,2
You clearly have no brain cells left,1
What a complete moron honestly,1
You are wasting everyone's time with this,1
Cooking a new recipe for dinner tonight,2
Just finished reading an amazing book,2
Cooking a new recipe for dinner tonight,2
I had a great time at the park today,2
The new restaurant downtown is excellent,2
Just finished reading an amazing book,2
I had a great time at the park today,2
The sunrise this morning was beautiful,2
You are such an idiot for thinking that,1
Looking forward to the weekend with family,2
You clearly have no brain cells left,1
They should be banned from entering our nation,0
These people are a plague on society,0
Going for a walk helps clear my mind,2
Burn their places of worship to the ground,0
This post is embarrassingly bad and wrong,1
They don't deserve to live among us,0
That was a really stupid thing to say,1
They don't deserve to live among us,0
Cooking a new recipe for dinner tonight,2
The movie last night was quite entertaining,2
Had a wonderful coffee chat with a friend,2
I love learning new things every day,2
The garden is blooming beautifully this spring,2
They don't deserve to live among us,0
Stop being so incredibly annoying all the time,1
I hate all people who are different from us,0
Shut up nobody cares what you think,1
I had a great time at the park today,2
You are wasting everyone's time with this,1
You have no idea what you are talking about,1
I love learning new things every day,2
Disgusting subhumans invading our land,0
What a complete moron honestly,1
You clearly have no brain cells left,1
Finally finished my project after weeks of work,2
Complete trash this entire group needs to disappear,0
We need to eliminate those disgusting creatures,0
Finally finished my project after weeks of work,2
Cooking a new recipe for dinner tonight,2
Finally finished my project after weeks of work,2
Looking forward to the weekend with family,2
Dumbest take I have ever seen online,1
Today was a productive day at work,2
Going for a walk helps clear my mind,2
All members of that religion are terrorists,0
The movie last night was quite entertaining,2
This is garbage content stop posting,1
You are such an idiot for thinking that,1
You clearly have no brain cells left,1
These people are a plague on society,0
These people are a plague on society,0
They don't deserve to live among us,0
Filthy criminals from that group everywhere,0
Those people are genetically inferior to us,0
Going for a walk helps clear my mind,2
They don't deserve to live among us,0
That is a terrible and dumb opinion,1
This is garbage content stop posting,1
Everyone knows that group X is inferior,0
You have no idea what you are talking about,1
Listening to great music while working,2
You are such an idiot for thinking that,1
You clearly have no brain cells left,1
This is garbage content stop posting,1
Everyone knows that group X is inferior,0
These people are a plague on society,0
Dumbest take I have ever seen online,1
Just finished reading an amazing book,2
All members of that religion are terrorists,0
I love learning new things every day,2
You are wasting everyone's time with this,1
We need to eliminate those disgusting creatures,0
Filthy criminals from that group everywhere,0
Those animals don't belong here get them out,0
They should be banned from entering our nation,0
Seriously the most ignorant thing I have read,1
Shut up nobody cares what you think,1
Complete trash this entire group needs to disappear,0
The garden is blooming beautifully this spring,2
Those animals don't belong here get them out,0
Had a wonderful coffee chat with a friend,2
Complete trash this entire group needs to disappear,0
You clearly have no brain cells left,1
The garden is blooming beautifully this spring,2
Listening to great music while working,2
The new restaurant downtown is excellent,2
They should be banned from entering our nation,0
Had a wonderful coffee chat with a friend,2
Disgusting subhumans invading our land,0
I love learning new things every day,2
Absolute nonsense from beginning to end,1
You are pathetically wrong about everything,1
Had a wonderful coffee chat with a friend,2
Filthy criminals from that group everywhere,0
Those animals don't belong here get them out,0
Disgusting subhumans invading our land,0
That was a really stupid thing to say,1
Cooking a new recipe for dinner tonight,2
Absolute nonsense from beginning to end,1
Finally finished my project after weeks of work,2
Absolute nonsense from beginning to end,1
I love learning new things every day,2
I hate all people who are different from us,0
You are wasting everyone's time with this,1
This post is embarrassingly bad and wrong,1
They should all be removed from this country,0
Listening to great music while working,2
Dumbest take I have ever seen online,1
They don't deserve to live among us,0
They should be banned from entering our nation,0
We need to eliminate those disgusting creatures,0
The sunrise this morning was beautiful,2
You have no idea what you are talking about,1
You clearly have no brain cells left,1
Shut up nobody cares what you think,1
Dumbest take I have ever seen online,1
They should all be removed from this country,0
That is a terrible and dumb opinion,1
That is a terrible and dumb opinion,1
That was a really stupid thing to say,1
Had a wonderful coffee chat with a friend,2
They should all be removed from this country,0
We must stand against the invasion of our culture,0
That was a really stupid thing to say,1
I had a great time at the park today,2
Seriously the most ignorant thing I have read,1
Everyone knows that group X is inferior,0
They should all be removed from this country,0
I had a great time at the park today,2
The movie last night was quite entertaining,2
The weather is really nice this morning,2
Going for a walk helps clear my mind,2
Shut up nobody cares what you think,1
The sunrise this morning was beautiful,2
That is a terrible and dumb opinion,1
I love learning new things every day,2
Everyone knows that group X is inferior,0
Absolute nonsense from beginning to end,1
You clearly have no brain cells left,1
Had a wonderful coffee chat with a friend,2
Burn their places of worship to the ground,0
Just finished reading an amazing book,2
Cooking a new recipe for dinner tonight,2
You are wasting everyone's time with this,1
I love learning new things every day,2
That was a really stupid thing to say,1
We must stand against the invasion of our culture,0
That is a terrible and dumb opinion,1
You are pathetically wrong about everything,1
The weather is really nice this morning,2
Finally finished my project after weeks of work,2
Those people are genetically inferior to us,0
Those animals don't belong here get them out,0
You have no idea what you are talking about,1
That is a terrible and dumb opinion,1
They should be banned from entering our nation,0
Those animals don't belong here get them out,0
Disgusting subhumans invading our land,0
You are wasting everyone's time with this,1
The sunrise this morning was beautiful,2
Stop being so incredibly annoying all the time,1
Absolute nonsense from beginning to end,1
You have no idea what you are talking about,1
The new restaurant downtown is excellent,2
Stop being so incredibly annoying all the time,1
The weather is really nice this morning,2
They should be banned from entering our nation,0
Looking forward to the weekend with family,2
The weather is really nice this morning,2
Burn their places of worship to the ground,0
Seriously the most ignorant thing I have read,1
Those people are genetically inferior to us,0
Stop being so incredibly annoying all the time,1
That was a really stupid thing to say,1
We need to eliminate those disgusting creatures,0
You are such an idiot for thinking that,1
They should all be removed from this country,0
Listening to great music while working,2
They don't deserve to live among us,0
The sunrise this morning was beautiful,2
Disgusting subhumans invading our land,0
They should all be removed from this country,0
I hate all people who are different from us,0
Today was a productive day at work,2
That was a really stupid thing to say,1
Those people are genetically inferior to us,0
